Trajtory 数据集 - 采样率对压缩性能影响分析

采样率,点数,TrajCompress-SP(bits/点),Serf-QT(bits/点),改进(%),胜者,LDR占比(%),CP占比(%),ZP占比(%),标志位(bits/点),量化(bits/点)
原始 (1/1),97009,8.40,10.97,23.4,三预测器,84.9,6.0,9.1,1.14,7.26
1/5,19402,12.60,15.83,20.4,三预测器,57.7,26.3,16.0,1.42,11.17
1/10,9701,13.07,15.61,16.2,三预测器,57.0,24.2,18.7,1.43,11.63
1/20,4851,17.98,19.05,5.6,三预测器,55.2,18.8,26.0,1.45,16.49
1/40,2426,23.81,23.41,-1.7,Serf-QT,51.6,16.9,31.5,1.48,22.25

关键发现
1. 原始数据(1秒采样): TrajCompress-SP 显著优于 Serf-QT (23.4% 提升)
2. 降采样后性能优势逐渐减弱
3. 1/40降采样时，Serf-QT 略优于 TrajCompress-SP (1.7%)
4. LDR占比从84.9%降至51.6%，ZP占比从9.1%升至31.5%
