metric,std_geohash,mbr_geohash,hilbert
sample_count,99998,99998,99998
min_diff,-7196930922955,-5726678793,-2820742697
max_diff,45813009997,357598695883,728387358692
avg_diff,-71691472.54,3658818.43,7325845.14
avg_abs_diff,79440312.31,5869920.29,9158132.31
zero_count,8286,9253,9253
zero_percent,8.29,9.25,9.25
