percentile,std_geohash,mbr_geohash,hilbert
P0,0,0,0
P1,0,0,0
P5,0,0,0
P10,2,1,1
P25,57,40,34
P50,862,538,433
P75,8937,6167,5093
P90,88070,88014,54331
P95,350190,350796,213162
P99,11198641,11152629,5604659
P100,7196930922955,357598695883,728387358692
