Dataset,Points,TrajSP_BPP,Adaptive_BPP,Simple_BPP,QT_BPP,Linear_BPP,Curve_BPP,TrajSP_MaxErr,TrajSP_AvgErr,Adaptive_MaxErr,Adaptive_AvgErr,Simple_MaxErr,Simple_AvgErr,QT_MaxErr,QT_AvgErr,Linear_MaxErr,Linear_AvgErr,Curve_MaxErr,Curve_AvgErr,Best
Geolife (原始),100000,7.554980,7.554980,7.225330,9.570900,7.339020,10.372680,1.411256e-05,7.600266e-06,0.000000e+00,0.000000e+00,1.409855e-05,7.672040e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,Simple
Geolife (5x降采样),20000,14.827100,14.827100,14.441100,16.256100,15.600300,19.523500,1.409178e-05,7.645906e-06,0.000000e+00,0.000000e+00,1.406610e-05,7.621536e-06,1.407149e-05,7.658790e-06,5.936663e+06,1.875818e+06,0.000000e+00,0.000000e+00,Simple
Geolife (10x降采样),10000,18.666900,18.666900,18.205700,19.694600,20.064800,24.505000,1.406558e-05,7.668059e-06,0.000000e+00,0.000000e+00,1.407808e-05,7.670006e-06,1.402900e-05,7.663327e-06,1.727866e+06,4.968452e+05,0.000000e+00,0.000000e+00,Simple
Geolife (20x降采样),5000,22.824000,22.824000,22.260600,23.400800,25.076400,29.516400,1.402329e-05,7.622267e-06,0.000000e+00,0.000000e+00,1.406152e-05,7.704265e-06,1.402900e-05,7.663004e-06,6.889319e+05,2.688636e+05,0.000000e+00,0.000000e+00,Simple
Geolife (40x降采样),2500,26.818400,26.818400,26.279600,27.000000,30.432800,34.982400,1.384671e-05,7.692497e-06,0.000000e+00,0.000000e+00,1.390795e-05,7.620760e-06,1.390207e-05,7.641132e-06,1.277082e+05,8.597916e+04,0.000000e+00,0.000000e+00,Simple
Track (原始),63530,5.788084,5.788084,5.538643,9.791720,5.787030,10.057107,1.409499e-05,7.538330e-06,0.000000e+00,0.000000e+00,1.409231e-05,7.664629e-06,1.405728e-05,7.680864e-06,3.165814e+09,1.591202e+09,0.000000e+00,0.000000e+00,Simple
Track (5x降采样),12706,12.553361,12.553361,12.225799,16.913584,13.359358,17.527940,1.407682e-05,7.584470e-06,0.000000e+00,0.000000e+00,1.409521e-05,7.595663e-06,1.402911e-05,7.674757e-06,2.031649e+08,8.006834e+07,0.000000e+00,0.000000e+00,Simple
Track (10x降采样),6353,17.591846,17.591846,17.131591,20.681568,18.890288,24.325830,1.399247e-05,7.603337e-06,0.000000e+00,0.000000e+00,1.398081e-05,7.638241e-06,1.400083e-05,7.664687e-06,5.712900e+07,2.931708e+07,0.000000e+00,0.000000e+00,Simple
Track (20x降采样),3177,23.103242,23.103242,22.579163,25.146994,24.627007,31.587661,1.389221e-05,7.662491e-06,0.000000e+00,0.000000e+00,1.392169e-05,7.697711e-06,1.400083e-05,7.721002e-06,2.156450e+07,9.653365e+06,0.000000e+00,0.000000e+00,Simple
Track (40x降采样),1589,28.379484,28.379484,27.833228,30.042794,29.905601,38.274386,1.404500e-05,7.659922e-06,0.000000e+00,0.000000e+00,1.367604e-05,7.664991e-06,1.400083e-05,7.772731e-06,4.142614e+06,2.323587e+06,0.000000e+00,0.000000e+00,Simple
Trajectory (原始),97009,8.159088,8.159088,7.395438,10.965890,7.780165,10.744735,1.408899e-05,7.610549e-06,0.000000e+00,0.000000e+00,1.405870e-05,7.663534e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,Simple
Trajectory (5x降采样),19402,11.636996,11.636996,11.481548,15.829811,11.799505,13.656427,1.410383e-05,7.653463e-06,0.000000e+00,0.000000e+00,1.409348e-05,7.793140e-06,1.401492e-05,7.587379e-06,8.968237e+06,1.146630e+06,0.000000e+00,0.000000e+00,Simple
Trajectory (10x降采样),9701,11.898876,11.898876,11.666117,15.605195,12.418926,15.001134,1.405967e-05,7.493840e-06,0.000000e+00,0.000000e+00,1.403571e-05,7.641910e-06,1.400152e-05,7.565037e-06,1.585711e+05,6.350901e+04,0.000000e+00,0.000000e+00,Simple
Trajectory (20x降采样),4851,16.577613,16.577613,16.212740,19.045970,17.778602,21.751804,1.393779e-05,7.553560e-06,0.000000e+00,0.000000e+00,1.396813e-05,7.672114e-06,1.387344e-05,7.560731e-06,1.121144e+05,4.073292e+04,0.000000e+00,0.000000e+00,Simple
Trajectory (40x降采样),2426,22.197444,22.197444,21.607172,23.407255,24.090684,29.095631,1.386065e-05,7.695223e-06,0.000000e+00,0.000000e+00,1.379831e-05,7.618806e-06,1.371860e-05,7.562770e-06,1.989833e+06,2.201888e+05,0.000000e+00,0.000000e+00,Simple
